type,msg,x,degree,numTerms,blMod,t0,buildTask,publishTaskIPFS,publishTaskETH,workerPullTask,workerProcessTask,workerSubmitResultIPFS,workerSubmitResultETH,userTriggerVerify,userVerify,oracleVerify,invokeVerification,gasUsed
MULTIVAR,test,2,64,6,1024,333446908045210,66614,0,0,0,1097243,7125,0,0,0,10764,151205458,113666
MULTIVAR,test,2,64,6,1024,333447065698942,63289,0,0,0,1063075,9778,0,0,0,10570,181290305,107864
MULTIVAR,test,2,64,6,1024,333447253821911,104870,0,0,0,849163,9574,0,0,0,10934,209345893,143851
MULTIVAR,test,2,64,12,1024,333447469351740,92569,0,0,0,2002025,22706,0,0,0,7180,122809038,91866
MULTIVAR,test,2,64,12,1024,333447599467353,77358,0,0,0,1942020,14723,0,0,0,6395,110915504,87621
MULTIVAR,test,2,64,12,1024,333447719890525,109867,0,0,0,4869158,18528,0,0,0,11495,267431323,134997
MULTIVAR,test,2,64,12,1024,333447996696110,140923,0,0,0,1707856,11407,0,0,0,7335,124997502,102254
MULTIVAR,test,2,64,12,1024,333448128771088,53277,0,0,0,1291065,13691,0,0,0,12196,153258199,131559
MULTIVAR,test,2,64,12,1024,333448288753441,94268,0,0,0,1163133,12208,0,0,0,6328,126401184,95821
MULTIVAR,test,2,64,12,1024,333448422202659,64410,0,0,0,1796816,12798,0,0,0,5043,117176644,88842
MULTIVAR,test,2,64,12,1024,333448546540144,70399,0,0,0,2148410,35863,0,0,0,7740,167534743,99893
MULTIVAR,test,2,64,12,1024,333448721542975,56197,0,0,0,2268239,14323,0,0,0,12151,162955327,113476
MULTIVAR,test,2,64,12,1024,333448892902887,76807,0,0,0,796829,9204,0,0,0,9571,117647311,103549
MULTIVAR,test,2,64,12,1024,333449016325444,60426,0,0,0,2744322,15002,0,0,0,7686,126227860,103273
MULTIVAR,test,2,64,12,1024,333449152799907,87503,0,0,0,1104931,9226,0,0,0,11221,226747488,122048
MULTIVAR,test,2,64,12,1024,333449386243253,64709,0,0,0,1648510,13065,0,0,0,12351,264503031,166254
MULTIVAR,test,2,64,12,1024,333449658411900,85368,0,0,0,2396200,9042,0,0,0,11013,202535644,125550
MULTIVAR,test,2,64,12,1024,333449868884513,57588,0,0,0,1878117,54560,0,0,0,9489,176445299,119144
MULTIVAR,test,2,64,12,1024,333450052666975,75247,0,0,0,1608045,43480,0,0,0,5202,106443738,88936
MULTIVAR,test,2,64,12,1024,333450166414435,76556,0,0,0,1259219,15094,0,0,0,7333,99935171,98089
MULTIVAR,test,2,64,12,1024,333450273314882,64038,0,0,0,1251165,13683,0,0,0,9412,128890740,107136
MULTIVAR,test,2,64,12,1024,333450408634856,92217,0,0,0,1193989,9892,0,0,0,15293,437832451,217070
MULTIVAR,test,2,64,12,1024,333450852861920,55773,0,0,0,1036905,11326,0,0,0,13426,342587036,180464
MULTIVAR,test,2,64,12,1024,333451201750962,65744,0,0,0,1075532,9315,0,0,0,8049,107150953,93522
MULTIVAR,test,2,64,12,1024,333451315182459,68347,0,0,0,1460682,14028,0,0,0,8076,105595122,90806
MULTIVAR,test,2,64,12,1024,333451427326945,50125,0,0,0,1027972,6986,0,0,0,15102,668972862,264060
MULTIVAR,test,2,64,12,1024,333452103410595,106629,0,0,0,1651126,17304,0,0,0,9873,172991330,124912
MULTIVAR,test,2,64,12,1024,333452283700392,71000,0,0,0,1427393,13940,0,0,0,10546,248182223,139297
MULTIVAR,test,2,64,12,1024,333452538397620,72730,0,0,0,1130138,11401,0,0,0,9557,117241211,107902
MULTIVAR,test,2,64,12,1024,333452664184732,54328,0,0,0,1194816,11848,0,0,0,8366,111500256,97656
MULTIVAR,test,2,64,12,1024,333452784218656,2368314,0,0,0,1399922,17200,0,0,0,9738,177446811,124767
MULTIVAR,test,2,64,12,1024,333452969551074,128349,0,0,0,1171845,10637,0,0,0,10910,254738863,137799
MULTIVAR,test,2,64,12,1024,333453231120851,57060,0,0,0,735088,7720,0,0,0,8859,167654933,119288
MULTIVAR,test,2,64,12,1024,333453405155519,60637,0,0,0,1262075,9090,0,0,0,11128,148421158,116700
MULTIVAR,test,2,64,12,1024,333453559744504,67994,0,0,0,1131239,11029,0,0,0,14452,394508666,188264
MULTIVAR,test,2,64,12,1024,333453961285324,63859,0,0,0,1302826,10607,0,0,0,9778,250034911,162195
MULTIVAR,test,2,64,12,1024,333454218510779,56152,0,0,0,1648666,18547,0,0,0,5328,191173013,84452
MULTIVAR,test,2,64,12,1024,333454418529183,69998,0,0,0,1431315,15207,0,0,0,6187,138369661,91720
MULTIVAR,test,2,64,12,1024,333454564076607,56801,0,0,0,1038414,7268,0,0,0,9337,127394245,102239
MULTIVAR,test,2,64,12,1024,333454698352649,71567,0,0,0,2075526,11853,0,0,0,4928,111357751,94606
MULTIVAR,test,2,64,12,1024,333454819838370,74722,0,0,0,1648834,26466,0,0,0,6515,113588418,91828
MULTIVAR,test,2,64,12,1024,333454940740864,57314,0,0,0,2081788,45855,0,0,0,8137,139630492,93356
MULTIVAR,test,2,64,12,1024,333455088388057,77333,0,0,0,2188507,23384,0,0,0,6483,107727021,91924
